yelpId,Name,address,phone,review,website
HrcV-xue3p4Hv7UB_DAbdA,Elom’s BraidingBraiding,"1520 West BlvdCharlotte, NC 28208",(704) 819-2007,3.5/12 reviews,elomsbraiding.com
QC1qMPPNWfihUzcVzd5ttw,Image by Bignon’s,"7524 S Tryon StCharlotte, NC 28217",(704) 918-5055,3.0/14 reviews,bignons.com
VEZnh1qOGs_NLaMOROaWyw,Agou Hair Braiding BoutiqueBraiding,"7925 N Tryon StCharlotte, NC 28262",(704) 548-0069,2.0/12 reviews,agouhairbraiding.com
0g3FlpqH4m-W6i32cJboYw,Tennehs African Braiding SalonBraiding,"2824 The PlzCharlotte, NC 28205",(704) 332-7040,3.0/2 reviews,
yRbvnRlJZUj76RD8fIuJQQ,Amirror Hair Studio,"2750 E Wt Harris BlvdCharlotte, NC 28213",(704) 907-7227,5.0/3 reviews,amirrorhairstudiosalon.com
MgiYBJVcPxWGndMUHqvluQ,Bignon’s African Hair & Studio,"6932 N Tryon StCharlotte, NC 28213",(704) 921-2221,1.5/5 reviews,bignons.com
V3zTJY4eJy2n5K6VjClX0w,Happy Hair BraidingBraiding,"9605 N Tryon StCharlotte, NC 28262",(980) 335-0055,3.0/2 reviews,happyhairbraiding.com
3AhneMYvRxxfCPYXc41Hrg,Typh’s Braid CreationsBraid,"7146 E Independence BlvdCharlotte, NC 28227",(980) 299-8655,2.5/4 reviews,typhsbraids.com
b3TJKR_V1wHK6Kd82FT0aQ,Madusas African Hair BraidingBraiding,"1125 E Sugar Creek RdCharlotte, NC 28205",(704) 334-4452,3.5/3 reviews,
6DFzNuN1B-Z3SLbNhKo2Mw,Grace African Hair Braiding & Beauty ProductsBraiding,"3061 N Sharon Amity RdCharlotte, NC 28205",(704) 492-6483,4.0/4 reviews,braidingbygrace.com
b18ykC-gQf2o81qsX-NVgQ,Aamavi Africa Hair Salon,"2620 S Tryon StCharlotte, NC 28203",(704) 333-0643,3.0/10 reviews,
