yelpId,Name,address,phone,review,website
1JonHvV5HDvoOoB64gp3PA,Walk-In WeavesWeaves,"200 W Woodlawn RdCharlotte, NC 28217",,5.0/1 review,walkinweaves.com
oVxucHwWt7btKoU21_lB2w,Mane Duo,"2125 Commonwealth AveCharlotte, NC 28205",(980) 406-3871,5.0/5 reviews,maneduosalon.com
KmubLdA-rasr_sl0o1TG5A,Hairitage Studio Salon,"2082 Ayrsley Town BlvdCharlotte, NC 28273",(704) 499-9012,5.0/1 review,hairitagestudio.net
z5SWVv7ql1IQJcQjsp2Ibg,The Weave And Natural Hair BoutiqueWeave,"2622 Stateville RdCharlotte, NC 28269",(704) 780-3082,no review,
ic5TJB0pUeiQ53J2CRBMig,Uptown Hair & Weave CafeWeave,"520 W 10thCharlotte, NC 28202",(704) 333-8022,3.0/2 reviews,uptownweavecafe.com
8d8Q3ZhAJwzdfxdj-mFmqQ,Naty Dominican Hair Stylist,"4548 Old Pineville RdCharlotte, NC 28217",(203) 808-0282,4.5/15 reviews,
78pWFRTMSBengLChJW1Rrg,Styles By Matisa,"129 N Poplar StCharlotte, NC 27882",(704) 271-4397,5.0/2 reviews,stylesbymatisa.com
yRbvnRlJZUj76RD8fIuJQQ,Amirror Hair Studio,"2750 E Wt Harris BlvdCharlotte, NC 28213",(704) 907-7227,5.0/3 reviews,amirrorhairstudiosalon.com
qn9b8n1RqVakeliNctBa3Q,Treatment Salon,"14815 Ballantyne Village WayCharlotte, NC 28277",(980) 288-5060,5.0/8 reviews,treatmentsalon.com
bN3Gx9k9RtQPfRxzZPJv_w,2 The Max Salon,"10223 University City BlvdCharlotte, NC 28213",(704) 295-0909,3.5/3 reviews,2themaxsalon.com
JN4WI32_ajlueq6K6HC0IQ,Beyond Extensions,"2084 Ayrsley Town BlvdCharlotte, NC 28273",(704) 904-3968,5.0/2 reviews,beyondextensions.mayvenn.com
j7MwQ2eC4k8IecXoEqrw7g,Tisun Beauty,"5420 N Tryon StCharlotte, NC 28213",(704) 597-5690,3.5/31 reviews,tisunbeauty.com
lEJSpNJpgdEauK3MvIpmgw,Maribeth’s Blowout Bar,"2750 E Wt Harris BlvdCharlotte, NC 28213",(704) 412-9106,5.0/2 reviews,
7M045BonrAsf89m8Zt_kEg,La Extensions Hair Studio,"1237 Tyvola RdCharlotte, NC 28210",(980) 949-0908,4.0/3 reviews,laxhairstudio.com
